id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
4753,"GENECSLR 737",48,48,0,0,0,0,0,0,A
4754,"GENECSLR 739",16,16,0,0,0,0,0,0,A
4755,"GENECSLR 740",8,5,3,0,0,0,0,0,A
4756,"GENECSLR 741",16,16,0,0,0,0,0,0,A
4757,"GENECSLR 742",8,7,1,0,0,0,0,0,A
4758,"GENECSLR 743",8,8,0,0,0,0,0,0,A
4759,"GENECSLR 744",16,7,8,1,0,0,0,0,A
4760,"GENECSLR 745",8,0,0,0,0,0,0,0,N/A
4761,"GENECSLR 748",16,16,0,0,0,0,0,0,A
4762,"GENECSLR 813",16,13,1,2,0,0,0,0,A
4763,"GENECSLR 814",8,4,4,0,0,0,0,0,A
4764,"GENECSLR 990",0,0,0,0,0,0,0,0,N/A
4765,"GENETICS 133",2454,1407,425,350,110,79,32,14,A
4766,"GENETICS 155",903,822,30,21,6,2,7,8,A
4767,"GENETICS 289",0,0,0,0,0,0,0,0,N/A
4768,"GENETICS 299",131,131,0,0,0,0,0,0,A
4769,"GENETICS 375",1991,1813,132,31,3,3,1,2,A
4770,"GENETICS 399",0,0,0,0,0,0,0,0,N/A
4771,"GENETICS 400",84,46,22,12,3,0,0,0,A
4772,"GENETICS 466",7212,1515,822,1729,842,1539,477,157,BC
4773,"GENETICS 467",831,172,173,185,126,118,42,11,BC
4774,"GENETICS 468",517,161,88,111,49,53,15,10,B
4775,"GENETICS 470",1501,476,244,385,147,160,35,28,B
4776,"GENETICS 471",61,51,3,6,0,0,0,0,A
4777,"GENETICS 520",440,226,112,55,28,10,7,0,A
4778,"GENETICS/BIOLOGY 522",243,186,37,10,6,0,0,2,A
4779,"GENETICS 525",49,25,10,9,2,1,0,0,A
4780,"GENETICS 527",271,235,18,13,1,2,2,0,A
4781,"GENETICS 528",82,22,14,23,3,11,5,0,B
4782,"GENETICS 545",555,316,75,112,24,14,2,4,A
4783,"GENETICS 548",82,22,14,23,3,11,5,0,B
4784,"GENETICS/HORT 550",206,100,28,46,7,14,4,2,B
4785,"GENETICS 564",144,91,28,19,3,0,0,2,A
4786,"GENETICS/MD GENET 565",952,216,199,271,130,109,20,2,B
4787,"GENETICS 566",849,472,96,211,41,21,1,2,A
4788,"GENETICS 567",145,138,3,3,0,0,0,0,A
4789,"GENETICS 568",61,48,9,3,1,0,0,0,A
4790,"GENETICS 569",61,23,19,15,2,2,0,0,B
4791,"GENETICS 570",84,45,14,16,5,0,0,0,A
4792,"GENETICS 571",83,61,8,10,0,0,0,0,A
4793,"GENETICS 572",83,35,27,12,4,0,0,0,A
4794,"GENETICS 573",83,49,23,7,0,0,0,0,A
4795,"GENETICS 574",61,26,12,13,8,1,0,0,B
4796,"GENETICS 575",61,30,21,8,2,0,0,0,A
4797,"GENETICS 576",61,22,21,15,3,0,0,0,A
4798,"GENETICS 577",46,21,20,3,2,0,0,0,A
4799,"GENETICS 578",0,0,0,0,0,0,0,0,N/A
4800,"GENETICS 588",78,61,8,9,0,0,0,0,A
4801,"GENETICS 605",34,14,11,5,3,0,0,0,A
4802,"GENETICS/BIOCHEM/MICROBIO 612",808,296,181,237,30,42,10,1,B
4803,"GENETICS/AGRONOMY/AN SCI/HORT 615",21,9,6,2,0,0,0,0,A
4804,"GENETICS/BIOCHEM/MD GENET 620",784,169,199,299,52,20,11,3,B
4805,"GENETICS/ENTOM/ZOOLOGY 624",62,43,11,6,1,1,0,0,A
4806,"GENETICS/CHEM 626",120,119,1,0,0,0,0,0,A
4807,"GENETICS 627",174,100,37,23,7,4,1,0,A
4808,"GENETICS/BIOCHEM 631",193,123,27,29,7,3,1,2,A
4809,"GENETICS 633",132,42,43,30,6,5,3,0,B
4810,"GENETICS/MD GENET/POP HLTH 636",18,9,4,1,2,2,0,0,B
4811,"GENETICS/BOTANY/M M & I/PL PATH 655",41,29,5,4,0,1,0,0,A
4812,"GENETICS/MD GENET 662",271,189,47,31,2,1,1,0,A
4813,"GENETICS 670",55,36,7,8,1,3,0,0,A
4814,"GENETICS 671",1001,708,151,85,24,8,3,2,A
4815,"GENETICS 672",61,37,5,10,3,2,0,0,A
4816,"GENETICS 673",55,35,3,4,3,2,2,0,A
4817,"GENETICS/MD GENET 677",1001,708,151,85,24,8,3,2,A
4818,"GENETICS 681",1,0,0,0,0,0,0,0,N/A
4819,"GENETICS 682",2,2,0,0,0,0,0,0,A
4820,"GENETICS 699",261,258,2,1,0,0,0,0,A
4821,"GENETICS 701",201,77,72,37,8,2,0,0,A
4822,"GENETICS 702",71,47,23,1,0,0,0,0,A
4823,"GENETICS/MD GENET 707",190,130,27,32,1,0,0,0,A
4824,"GENETICS/MD GENET 708",115,102,9,4,0,0,0,0,A
4825,"GENETICS/CRB 710",64,59,4,1,0,0,0,0,A
4826,"GENETICS/BOTANY/ENTOM/ZOOLOGY 820",12,6,5,0,0,0,0,0,A
4827,"GENETICS/BIOCHEM/BOTANY 840",30,19,8,0,0,0,0,0,A
4828,"GENETICS/AN SCI/POP HLTH 849",34,28,2,2,0,0,0,0,A
4829,"GENETICS 875",182,83,62,21,3,1,1,0,A
4830,"GENETICS 885",85,21,38,23,2,0,0,0,B
4831,"GENETICS/B M E/B M I/BIOCHEM/CBE/COMP SCI 915",262,95,2,0,0,0,0,0,A
4832,"GENETICS/AN SCI/DY SCI 951",45,42,1,2,0,0,0,0,A
4833,"GENETICS/AGRONOMY/HORT 957",436,335,70,25,2,1,0,0,A
4834,"GENETICS 990",578,0,0,0,0,0,0,0,N/A
4835,"GENETICS 993",0,0,0,0,0,0,0,0,N/A
4836,"GEOG 101",5679,1600,1957,1290,373,214,54,86,B
4837,"GEOG 104",5679,1600,1957,1290,373,214,54,86,B
4838,"GEOG/ENVIR ST 120",8186,1638,1629,2140,1202,1073,276,90,BC
4839,"GEOG/ENVIR ST 127",1235,247,200,329,199,170,41,19,BC
4840,"GEOG/ENVIR ST 139",4044,1361,970,957,315,248,59,37,B
4841,"GEOG 170",6262,2676,1370,1044,453,416,105,68,B
4842,"GEOG 175",16,15,0,0,1,0,0,0,A
4843,"GEOG 198",30,22,2,1,0,0,0,0,A
4844,"GEOG 199",1079,117,139,125,126,102,6,9,BC
4845,"GEOG/ENVIR ST/SOIL SCI 230",1298,463,203,213,135,133,69,46,B
4846,"GEOG/ASIAN/HISTORY/POLI SCI/SOC 244",1470,597,375,240,87,40,16,26,B
4847,"GEOG/HISTORY/POLI SCI/SLAVIC 253",535,198,137,89,42,27,7,7,B
